No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32001894,8.4,7.25,6.4,0,0,0,5.25,6.5,7.5,8.4,14.8,8.4,22.05
'32000888,6.8,7.25,8,6.75,6.25,6.25,0,0,0,19.8,21.55,19.3,22.05
'32001979,8,8.25,5.8,0,0,0,6.25,7,8,8,13.8,8,22.05
'32002658,8.4,6.25,7.4,0,0,0,7.5,8.25,9.5,8.4,15.8,8.4,22.05
'32000832,8.8,8,5.2,0,0,0,8.75,8.75,9.25,8.8,14,8.8,22
'32002283,9.2,7,5.8,5,7.75,5.5,0,0,0,21.95,20,22.45,22
'32002712,8.6,8,5.4,0,0,0,8,8,9.75,8.6,14,8.6,22
'32002535,9.4,6.75,5.8,0,0,0,9,9.25,10,9.4,15.2,9.4,21.95
'32000035,8,7.75,6.2,0,0,0,5,6.5,9,8,14.2,8,21.95
'32000016,9.2,6.75,6,4.5,9.25,7.75,0,0,0,22.95,19.7,26.2,21.95
'32000074,8.8,6.75,6.4,6,9.25,8.25,0,0,0,24.05,21.2,26.3,21.95
'32001606,7.4,8.75,5.8,0,0,0,4,6.75,7.75,7.4,13.2,7.4,21.95
'32001219,9,5.75,7.2,9,3.5,4.25,0,0,0,21.5,25.2,16.75,21.95
'32002451,7.6,5.5,8.8,4.5,4,3.5,0,0,0,16.1,20.9,15.1,21.9
'32000660,7.6,8.5,5.8,0,0,0,4.25,7.5,8.25,7.6,13.4,7.6,21.9
'32002466,7.8,8.5,5.6,0,0,0,7.5,7.5,8.75,7.8,13.4,7.8,21.9
'32000883,9.4,4.5,8,7.75,3,5.25,0,0,0,20.15,25.15,17.65,21.9
'32000840,7.8,8.5,5.6,0,0,0,6,7.5,8,7.8,13.4,7.8,21.9
'32002697,8.8,5.5,7.6,8.25,4.75,6.75,0,0,0,21.8,24.65,20.3,21.9
'32000714,8.8,7.5,5.6,8.5,9,7,0,0,0,26.3,22.9,24.8,21.9
'32002654,8,7.25,6.6,0,0,0,6.25,7.75,7.75,8,14.6,8,21.85
